"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Jun-2023","EQ","9,588.00","9,618.05","9,505.65","9,550.45","9,515.70","9,517.50","9,552.46","9,800.00","7,625.15","561,014","5,359,061,697.30","41,757"
"12-Jun-2023","EQ","9,625.00","9,700.00","9,537.65","9,627.80","9,550.40","9,550.45","9,561.79","9,800.00","7,625.15","316,879","3,029,930,516.55","42,034"
"09-Jun-2023","EQ","9,675.50","9,713.90","9,611.10","9,658.60","9,635.00","9,627.80","9,656.06","9,800.00","7,555.00","161,389","1,558,381,631.20","27,995"
"08-Jun-2023","EQ","9,733.00","9,765.00","9,625.50","9,707.50","9,650.25","9,658.60","9,680.90","9,800.00","7,555.00","273,746","2,650,107,758.35","36,258"
"07-Jun-2023","EQ","9,788.00","9,800.00","9,650.50","9,736.20","9,673.00","9,707.50","9,729.88","9,800.00","7,555.00","453,747","4,414,905,766.90","64,634"
"06-Jun-2023","EQ","9,629.00","9,770.00","9,611.00","9,582.10","9,715.00","9,736.20","9,718.17","9,770.00","7,555.00","542,318","5,270,336,890.95","72,431"
"05-Jun-2023","EQ","9,552.50","9,640.00","9,488.55","9,485.35","9,585.00","9,582.10","9,588.84","9,769.00","7,555.00","434,649","4,167,778,434.55","54,879"
"02-Jun-2023","EQ","9,389.00","9,525.15","9,312.70","9,328.30","9,500.25","9,485.35","9,428.06","9,769.00","7,555.00","445,105","4,196,476,839.35","44,282"
"01-Jun-2023","EQ","9,337.50","9,377.55","9,222.00","9,367.70","9,330.00","9,328.30","9,306.45","9,769.00","7,555.00","378,706","3,524,409,606.20","46,443"
"31-May-2023","EQ","9,449.95","9,449.95","9,267.60","9,383.35","9,325.00","9,367.70","9,357.38","9,769.00","7,555.00","1,614,766","15,109,983,758.15","82,790"
"30-May-2023","EQ","9,380.00","9,402.90","9,300.00","9,333.50","9,400.00","9,383.35","9,367.82","9,769.00","7,555.00","372,004","3,484,866,364.50","44,620"
"29-May-2023","EQ","9,435.00","9,488.80","9,312.05","9,399.95","9,334.00","9,333.50","9,369.96","9,769.00","7,555.00","236,834","2,219,126,179.60","29,993"
"26-May-2023","EQ","9,333.00","9,415.00","9,311.25","9,281.85","9,400.00","9,399.95","9,385.38","9,769.00","7,555.00","346,760","3,254,474,348.25","49,140"
"25-May-2023","EQ","9,220.75","9,293.40","9,216.05","9,270.75","9,282.05","9,281.85","9,262.50","9,769.00","7,555.00","218,979","2,028,293,008.15","28,075"
"24-May-2023","EQ","9,168.00","9,318.20","9,159.00","9,200.70","9,277.00","9,270.75","9,277.46","9,769.00","7,555.00","470,365","4,363,791,600.30","47,175"
"23-May-2023","EQ","9,169.00","9,235.00","9,156.75","9,156.65","9,190.00","9,200.70","9,201.24","9,769.00","7,555.00","269,008","2,475,207,117.80","31,647"
"22-May-2023","EQ","9,090.00","9,169.70","9,073.85","9,105.95","9,150.00","9,156.65","9,144.98","9,769.00","7,555.00","182,115","1,665,437,934.75","27,045"
