Price,Date,Close
Ticker,,EBAY
0,2010-01-04 00:00:00+00:00,10.05892276763916
1,2010-01-05 00:00:00+00:00,9.953703880310059
2,2010-01-06 00:00:00+00:00,9.890571594238281
3,2010-01-07 00:00:00+00:00,9.776935577392578
4,2010-01-08 00:00:00+00:00,9.894781112670898
5,2010-01-11 00:00:00+00:00,9.869528770446777
6,2010-01-12 00:00:00+00:00,9.760101318359375
7,2010-01-13 00:00:00+00:00,9.932660102844238
8,2010-01-14 00:00:00+00:00,9.629630088806152
9,2010-01-15 00:00:00+00:00,9.457071304321289
10,2010-01-19 00:00:00+00:00,9.789562225341797
11,2010-01-20 00:00:00+00:00,9.356060981750488
12,2010-01-21 00:00:00+00:00,10.155723571777344
13,2010-01-22 00:00:00+00:00,9.92424201965332
14,2010-01-25 00:00:00+00:00,9.970539093017578
15,2010-01-26 00:00:00+00:00,10.130471229553223
16,2010-01-27 00:00:00+00:00,10.088383674621582
17,2010-01-28 00:00:00+00:00,9.819024085998535
18,2010-01-29 00:00:00+00:00,9.688551902770996
19,2010-02-01 00:00:00+00:00,9.751684188842773
20,2010-02-02 00:00:00+00:00,9.713805198669434
21,2010-02-03 00:00:00+00:00,9.776935577392578
22,2010-02-04 00:00:00+00:00,9.448653221130371
23,2010-02-05 00:00:00+00:00,9.558080673217773
24,2010-02-08 00:00:00+00:00,9.46548843383789
25,2010-02-09 00:00:00+00:00,9.414982795715332
26,2010-02-10 00:00:00+00:00,9.242424011230469
27,2010-02-11 00:00:00+00:00,9.313973426818848
28,2010-02-12 00:00:00+00:00,9.162458419799805
29,2010-02-16 00:00:00+00:00,9.478114128112793
30,2010-02-17 00:00:00+00:00,9.545454978942871
31,2010-02-18 00:00:00+00:00,9.612794876098633
32,2010-02-19 00:00:00+00:00,9.856902122497559
33,2010-02-22 00:00:00+00:00,9.797980308532715
34,2010-02-23 00:00:00+00:00,9.633837699890137
35,2010-02-24 00:00:00+00:00,9.789562225341797
36,2010-02-25 00:00:00+00:00,9.680134773254395
37,2010-02-26 00:00:00+00:00,9.688551902770996
38,2010-03-01 00:00:00+00:00,10.050504684448242
39,2010-03-02 00:00:00+00:00,10.096800804138184
40,2010-03-03 00:00:00+00:00,9.894781112670898
41,2010-03-04 00:00:00+00:00,10.008418083190918
42,2010-03-05 00:00:00+00:00,10.366162300109863
43,2010-03-08 00:00:00+00:00,10.454545021057129
44,2010-03-09 00:00:00+00:00,10.736532211303711
45,2010-03-10 00:00:00+00:00,10.757575988769531
46,2010-03-11 00:00:00+00:00,10.707071304321289
47,2010-03-12 00:00:00+00:00,10.930134773254395
48,2010-03-15 00:00:00+00:00,11.060606002807617
49,2010-03-16 00:00:00+00:00,11.275253295898438
50,2010-03-17 00:00:00+00:00,11.355218887329102
51,2010-03-18 00:00:00+00:00,11.557238578796387
52,2010-03-19 00:00:00+00:00,11.443602561950684
53,2010-03-22 00:00:00+00:00,11.393097877502441
54,2010-03-23 00:00:00+00:00,11.384679794311523
55,2010-03-24 00:00:00+00:00,11.338383674621582
56,2010-03-25 00:00:00+00:00,11.599327087402344
57,2010-03-26 00:00:00+00:00,11.553030014038086
58,2010-03-29 00:00:00+00:00,11.481480598449707
59,2010-03-30 00:00:00+00:00,11.422558784484863
60,2010-03-31 00:00:00+00:00,11.3510103225708
61,2010-04-01 00:00:00+00:00,11.182660102844238
62,2010-04-05 00:00:00+00:00,11.519359588623047
63,2010-04-06 00:00:00+00:00,11.477272987365723
64,2010-04-07 00:00:00+00:00,11.300504684448242
65,2010-04-08 00:00:00+00:00,11.136363983154297
